"control"	"self"	"motive"	"english"	"history"	"maths"	"biology"	"sex"	"school"
-0.84	-0.24	1	54.8	64.5	44.5	52.6	1	2
-0.38	-0.47	0.67	62.7	43.7	44.7	52.6	1	2
0.89	0.59	0.67	60.6	56.7	70.5	58	0	1
0.71	0.28	0.67	62.7	56.7	54.7	58	0	2
-0.64	0.03	1	41.6	46.3	38.4	36.3	1	3
1.11	0.9	0.33	62.7	64.5	61.4	58	1	1
0.06	0.03	0.67	41.6	39.1	56.3	45	0	2
-0.91	-0.59	0.67	44.2	39.1	46.3	36.3	0	3
0.45	0.03	1	62.7	51.5	54.4	49.8	1	2
0	0.03	0.67	62.7	64.5	38.3	55.8	1	2
0.24	-0.43	0.33	70.7	43.7	58.8	66.1	0	1
-1.09	-0.26	0.33	44.2	41.1	45.1	47.1	0	3
0.46	0.03	0.67	57.4	59.3	53.9	49.8	1	2
0.68	0.06	0.67	49.5	51.5	41.2	41.7	1	3
-0.14	-1.05	1	70.7	65.1	66.4	63.4	1	1
0.1	-0.16	0.33	49.5	59.3	51	47.1	0	2
0.45	0.65	1	57.4	56.7	46.9	52.6	1	2
-1.56	0.03	0.33	62.7	54.1	53	55.3	1	2
-1.02	-1.67	0.67	45.3	43	52.3	60.7	1	2
0.94	0.03	1	68	56.7	59.6	58	1	1
-0.4	0.03	1	44.2	54.1	59.3	58	1	1
-0.19	-1.73	1	44.7	47.6	50.3	39	1	2
0.26	0.03	0.33	48.4	48.9	52.2	43.9	0	2
0.21	0.94	0	38.9	48.9	41.8	58.5	0	2
0.7	0.87	1	46.9	54.1	46.4	49.8	1	3
1.36	0.94	1	57.4	64.5	49.9	55.3	1	2
-0.84	-0.57	0.33	33.6	33.3	41	36.3	0	3
-0.68	0.03	0.33	38.9	38.5	41.2	39	1	3
-0.17	0.31	1	65.4	67.1	75.5	71.5	0	1
0.06	0.28	1	60.1	59.3	56.2	60.7	1	1
-0.14	0.56	1	54.8	61.9	54.6	47.1	1	2
0.96	0.03	0.67	44.2	51.5	43.2	44.4	1	3
0.23	-0.26	0	52.1	61.9	56.3	58	1	1
0.66	0	1	52.1	48.9	48.5	44.4	1	3
0.08	0.59	1	57.4	56.7	53.9	60.7	1	2
-0.9	0.03	0.67	36.3	44.3	36.1	33.6	1	3
0.06	0.03	0.67	62.7	61.9	58.8	60.7	1	1
0.04	-0.47	0.67	33.6	59.3	44.7	47.1	1	3
0.66	0.34	1	60.1	51.5	53	63.4	0	2
0.46	0.03	1	57.4	67.1	47.7	55.8	1	2
-0.14	-0.24	0.67	54.8	38.5	57	52.6	0	2
0.26	-0.57	1	41.6	58.6	54.6	55.3	1	2
0.02	-0.14	0	60.1	64.5	67	58.5	1	1
1.11	0.34	1	65.4	64.5	64.1	66.1	0	1
1.16	-0.81	0.67	65.4	64.5	48	63.4	0	2
-0.4	0.65	0.67	44.2	43.7	38.6	33.6	0	3
-0.38	0.34	0.67	38.9	28.1	35.3	39	0	3
1.13	0.03	1	38.9	54.1	47.5	49.8	0	3
0.08	0.94	0.33	49.5	52.8	50.6	48.8	0	2
0.06	0.94	1	52.1	51.5	57.9	60.7	0	1
-0.64	-0.51	0.67	49.5	56.7	47.7	44.4	1	3
0.46	0.03	1	70.7	56.7	51.3	71.5	0	2
-1.13	-0.55	0.33	44.2	46.9	45.5	39	0	3
-1.05	-1.65	0	46.9	46.3	38.6	47.1	1	3
-0.84	0.03	0	36.3	59.3	47.7	39	1	3
0.06	0.65	0.33	47.4	64.5	53.9	55.8	1	2
-1.3	0.13	0.33	44.2	41.1	51.8	47.1	0	2
0.91	-0.47	0.67	44.2	41.1	50.5	58	0	2
0.28	0.03	1	54.8	59.3	49.5	63.4	0	2
-0.4	0.03	0	54.8	49.5	55.3	47.1	1	2
-0.86	0.28	1	36.3	48.9	54.4	60.7	0	2
0.46	0.94	1	65.4	61.9	67.9	66.1	0	1
0.5	-0.22	1	54.8	61.9	61.3	60.7	1	1
0.27	-1.05	0.33	60.1	54.1	56.3	55.3	0	1
-0.86	1.19	0.33	33.6	28.1	31.8	39.6	0	3
-0.89	0.56	0.33	44.2	41.1	40.3	49.8	0	3
-1.28	1.19	1	41.6	41.1	45.9	44.4	0	3
1.36	0.87	1	36.3	43.7	37.2	41.7	1	3
0.46	0.65	1	49.5	48.9	60.5	55.3	0	1
0.25	-0.26	0.33	49.5	30.7	40.3	33.6	0	3
0.23	0.03	1	62.7	61.9	55.5	55.3	1	1
-1.33	-0.6	0.33	34.7	35.2	40.2	50.9	1	2
0.32	-1.17	0.33	52.1	54.1	58.1	47.1	1	2
-0.44	-0.31	0.67	49.5	59.3	42.1	52.6	0	2
0.25	0.65	0	49.5	48.9	50.4	63.4	0	2
